Year,States_UTs,Wind Power (MW),Small Hydro Power (MW),Bio-Energy - Biomass Power (MW),Bio-Energy - Bagase Cogeneration (MW),Bio-Energy - Waste To Energy (MW),Total
2012,Andhra Pradesh,14497,978,578,300,123,16476
2012,Arunachal Pradesh,236,1341,8,NA,NA,1586
2012,Assam,112,239,212,NA,8,570
2012,Bihar ,144,223,619,300,73,1359
2012,Chhatisgarh,314,1107,236,NA,24,1681
2012,Goa,NA,6,26,NA,NA,32
2012,Gujarat,35071,202,1221,350,112,36956
2012,Haryana,93,110,1333,350,24,1910
2012,Himachal Pradesh,64,2398,142,NA,2,2606
2012,Jammu & Kashmir,5685,1431,43,NA,NA,7158
2012,Jharkhand,91,209,90,NA,10,400
2012,Karnataka,13593,4141,1130,450,                                                                                                                                         ,19315
2012,Kerala,837,704,1044,NA,36,2622
2012,Madhya Pradesh ,2931,820,1364,NA,78,5193
2012,Maharashtra,5961,794,1887,1250,287,10180
2012,Manipur,56,109,13,NA,2,180
2012,Meghalaya,82,230,11,NA,2,325
2012,Mizoram,NA,169,1,NA,2,171
2012,Nagaland,16,197,10,NA,NA,223
2012,Orissa,1384,295,246,NA,22,1948
2012,Punjab,NA,441,3172,300,45,3958
2012,Rajasthan,5050,57,1039,NA,62,6208
2012,Sikkim,98,267,2,NA,NA,367
2012,Tamil Nadu,14152,660,1070,450,151,16482
2012,Tripura,NA,47,3,NA,2,51
2012,Uttar Pradesh,1260,461,1617,1250,176,4763
2012,Uttarakhandl,534,1708,24,NA,5,2271
2012,West Bengal ,22,396,396,NA,148,962
2012,Andaman & Nicobar,365,8,NA,NA,NA,373
2012,Chandigarh,NA,NA,NA,NA,6,6
2012,Dadar & Nagar Haveli,NA,NA,NA,NA,NA,0
2012,Daman & Diu,4,NA,NA,NA,NA,4
2012,Delhi,NA,NA,NA,NA,131,131
2012,Lakshwadeep,NA,NA,NA,NA,NA,0
2012,Pondicherry,120,NA,NA,NA,2,122
2012,Others ,NA,NA,NA,NA,1022,1022
